,Title,my_label
0,Interface electronic system for measuring air acidity with optical sensors,11
1,Shadow-based vehicle detection in urban traffic,11
2,Mobility Patterns of Scholar Communities in Southwestern European Countries,11
3,Optimizing urban mobility through the integration of electric vehicles and smart grids,11
4,Data-driven approaches for improving public transportation efficiency in smart cities,11
7,AI-powered traffic management systems for reducing congestion in urban centers,11
8,Urban heat island mitigation strategies using green infrastructure and data analytics,11
9,Real-time monitoring of urban mobility using IoT-based sensor networks,11
10,Modeling the impact of electric bike-sharing programs on urban mobility patterns,11
13,GIS-based urban planning for disaster risk reduction in vulnerable communities,11
15,Smart waste management solutions for reducing environmental impact in cities,11
16,AI-based models for optimizing public transit routes and schedules,11
17,Evaluating the environmental impact of large-scale urban construction projects,11
18,Designing pedestrian-friendly cities through data-driven urban planning,11
20,AI-based systems for monitoring noise pollution levels in urban areas,11
22,Impact of autonomous vehicles on urban infrastructure and traffic flow,11
25,Evaluating the effectiveness of electric vehicle adoption in urban transport systems,11
30,Using AI to optimize waste recycling systems in urban areas,11
34,Design of eco-friendly public transport systems for sustainable urban development,11
35,Big data applications for improving urban traffic flow and reducing congestion,11
37,AI-based traffic flow prediction models for urban transportation networks,11
40,Big data for optimizing urban emergency response systems and disaster management,11
41,Green infrastructure planning for mitigating the impact of urban flooding,11
43,Development of real-time data-driven systems for managing urban traffic congestion,11
44,Smart public spaces: Enhancing urban living with digital technologies and urban design,11
45,AI applications in optimizing waste collection and disposal in smart cities,11
47,Urban mobility modeling with autonomous vehicle integration in transportation networks,11
48,Impact of shared mobility systems on urban congestion and public transportation networks,11
50,Urban resilience strategies for managing the impacts of natural disasters,11
54,Development of smart sensors for monitoring and managing urban heat islands,11
55,Urban air pollution reduction strategies using green transport solutions,11
56,Impact of urban sprawl on traffic congestion and sustainable urban development,11
57,Evaluation of electric vehicle infrastructure in reducing urban air pollution,11
58,Urban mobility patterns in the context of post-pandemic city planning,11
59,Leveraging blockchain technology for improving urban infrastructure management,11
61,Evaluating the effectiveness of cycle-sharing programs for reducing traffic congestion,11
62,AI and IoT integration for creating smart urban mobility solutions,11
64,Predicting the environmental impact of urban development using simulation models,11
67,Optimizing urban green space distribution to promote social inclusion and well-being,11
68,Impact of public transport accessibility on social equity in urban environments,11
71,AI-driven approaches for optimizing public transportation scheduling and capacity,11
74,Urban noise pollution management through intelligent monitoring systems,11
76,Urban heat island mitigation through sustainable landscaping and infrastructure,11
77,Exploring the potential of electric vehicle adoption in sustainable urban transportation,11
78,Urban resilience planning: Using data to improve the sustainability of cities,11
79,Optimization of traffic signal systems in smart cities using data analytics,11
83,Analyzing the potential of carpooling systems in reducing urban traffic congestion,11
84,Sustainable urban waste management systems: From waste to resource,11
85,Predicting and managing traffic congestion in smart cities using AI algorithms,11
88,The role of digital platforms in improving urban mobility and reducing congestion,11
90,Building smart urban infrastructure for enhanced resilience against natural disasters,11
91,GIS-based modeling for flood risk management in urban areas,11
92,Leveraging big data for optimizing public transport accessibility in cities,11
93,Evaluating the environmental benefits of urban green infrastructure on city air quality,11
94,Developing AI-based systems for real-time traffic data collection and analysis,11
95,Improvement of urban mobility using integrated data from multiple sources,11
97,AI-driven approaches for assessing the impact of urbanization on biodiversity,11
98,Interface electronic system for measuring air acidity with optical sensors,11
99,Shadow-based vehicle detection in urban traffic,11
100,Mobility Patterns of Scholar Communities in Southwestern European Countries,11
101,Smart City Infrastructure: Leveraging IoT for Sustainable Urban Living,11
102,Urban Planning Models for Sustainable Cities: A Data-Driven Approach,11
104,Designing Green Buildings for Sustainable Urban Development,11
106,Exploring the Use of Autonomous Vehicles in Reducing Urban Congestion,11
108,Waste Management Strategies in Smart Cities: A Data Analytics Approach,11
110,The Impact of Urban Sprawl on Sustainability and Community Development,11
111,Evaluating Public Transportation Systems Using Big Data in Smart Cities,11
112,Smart Parking Solutions for Sustainable Urban Mobility,11
114,Development of Sustainable Urban Ecosystems through Green Technology,11
115,Urban Heat Island Effect Mitigation: Designing Cool Roofs and Urban Green Spaces,11
116,Building Resilient Infrastructure to Protect Cities from Natural Disasters,11
118,Digital Twins for Smart Cities: Modeling Urban Environments for Sustainability,11
119,Sustainable Urban Mobility Planning: A Review of Recent Trends and Technologies,11
121,Smart Waste Collection Systems: IoT and Data-Driven Approaches to Waste Management,11
125,Mobility as a Service (MaaS) and Its Impact on Urban Transportation Systems,11
127,Smart City Solutions for Managing Urban Air Quality and Pollution,11
128,The Future of Urban Mobility: Electric Vehicles and Shared Transportation,11
131,Analyzing Traffic Patterns in Smart Cities Using Data Analytics and IoT,11
132,Sustainable Urban Development: Implementing Circular Economy Principles,11
133,Digital Infrastructure for Smart Cities: A Blueprint for Sustainable Communities,11
136,Sustainable Construction Practices in Urban Areas: Towards a Green Future,11
137,Using IoT to Optimize Public Services in Smart Cities,11
138,Electric Public Transport: A Path Towards Sustainable Urban Mobility,11
141,Advancing Sustainable Transportation Systems in Developing Countries,11
142,Smart Sensors and IoT in Urban Disaster Management Systems,11
146,Building Urban Resilience Through Smart Infrastructure and Data Analytics,11
147,The Role of Artificial Intelligence in Optimizing Traffic Management in Smart Cities,11
148,Optimizing Urban Air Quality Monitoring Using Sensor Networks,11
149,The Role of Sustainable Housing in Shaping Green Cities,11
151,IoT Applications in Urban Planning for Sustainable Cities,11
153,The Role of Public Spaces in Promoting Social Cohesion in Urban Environments,11
154,Smart Urban Mobility Systems: A Framework for Sustainable Transportation,11
156,Urban Forests: Integrating Nature into City Planning for Sustainability,11
158,Urban Transport and Sustainability: The Role of Electric Buses and Trams,11
159,Green Infrastructure and Its Role in Enhancing Urban Sustainability,11
160,The Impact of Smart Homes on Sustainable Urban Development,11
162,Data-Driven Decision Making in Urban Sustainability Planning,11
164,Sustainable Urban Regeneration: A Model for Revitalizing Degraded Areas,11
166,Sustainable Urban Planning: Balancing Growth with Environmental Protection,11
169,Urban Mobility: Analyzing the Role of Cycling and Pedestrian Infrastructure in Sustainability,11
172,Urban Sustainability Indicators: Measuring the Performance of Green Cities,11
173,Smart Transportation Solutions for Efficient Urban Logistics,11
174,Transforming Cities with Smart Urban Agriculture Solutions,11
175,Urban Sustainability and Smart Buildings: A Comprehensive Approach to Green Development,11
176,Designing Future Cities: A Vision for Sustainable Urbanization,11
177,Data Analytics for Urban Traffic Flow Optimization,11
178,Air Quality Monitoring Systems in Smart Cities: A Sustainable Approach,11
179,The Role of Green Building Certifications in Promoting Sustainable Development in Cities,11
180,Urban Mobility in the Age of Electric Vehicles: Trends and Challenges,11
181,"Building Smart, Resilient Cities: The Role of Technological Innovations",11
182,Smart City Governance and Policy Approaches for Sustainable Urban Development,11
183,Resilient and Sustainable Urban Transport Systems: Case Studies from Around the World,11
186,Public Engagement in Smart City Development: A Framework for Inclusive Growth,11
187,The Role of Digital Technologies in Promoting Urban Sustainability,11
189,Smart Mobility Solutions for Reducing Traffic Congestion and Pollution,11
190,The Future of Green Cities: Technology and Urban Sustainability Solutions,11
192,Analyzing the Impact of Eco-Districts on Urban Sustainability,11
194,Circular Economy in Cities: Innovative Approaches to Waste and Resource Management,11
196,The Role of Data and IoT in Making Cities More Sustainable,11
199,Exploring the Relationship between Sustainability Reporting and Sustainability Management Practices,12
200,"Integrating Technoeconomic, Environmental, and Safety Criteria in Solvent Screening for Extraction Processes: The Case of Algae Lipid Extraction",12
201,Designing circular supply chains for reducing waste in manufacturing industries,12
205,Techno-economic analysis of sustainable packaging solutions in the food industry,12
207,Designing zero-waste production systems in industrial processes,12
208,Data-driven approaches to improving resource efficiency in industrial manufacturing,12
209,Sustainable product design: Integrating environmental impact into the product lifecycle,12
211,Assessing the environmental impact of consumer products using life cycle assessment,12
214,AI-driven supply chain management for minimizing environmental impact,12
