,Unnamed: 0.1,Unnamed: 0,Title,Fecha,Abstract,Keyword,BestCategorySJR,Clean_Abstract,my_label,my_superlabel,Clean_Title
0,1,1,A methodology to compute emission projections from road transport (EmiTRANS),2014-01-01,"Atmospheric emissions from road transport have increased all around the world during the last decades more rapidly than from other pollution sources. For instance, they contribute to more than 25% of total CO, CO2, NOx, and fine particle emissions in most of the European countries. This situation shows the importance of road transport when complying with emission ceilings and air quality standards applied to these pollutants. This paper presents a modelling system to perform atmospheric emission projections (simultaneously both air quality pollutants and greenhouse gases) from road transport including the development of a tailored software tool (EmiTRANS) as a planning tool. The methodology has been developed with two purposes: 1) to obtain outputs used as inputs to the COPERT4 software to calculate emission projections and 2) to summarize outputs for policy making evaluating the effect of emission abatement measures for a vehicle fleet. This methodology has been applied to the calculation of emission projections in Spain up to 2020 under several scenarios, including a sensitivity analysis useful for a better interpretation and confidence building on the results. This case study demonstrates the EmiTRANS applicability to a country, and points out the need for combining both technical and non-technical measures (such as behavioural changes or demand management) to reduce emissions, indirectly improving air quality and contributing to mitigate climate change. (C) 2013 Elsevier Inc. All rights reserved. (general); Atmospheric emissions from road transport have increased all around the world during the last decades more rapidly than from other pollution sources. For instance, they contribute to more than 25% of total CO, CO2, NOx, and fine particle emissions in most of the European countries. This situation shows the importance of road transport when complying with emission ceilings and air quality standards applied to these pollutants. (Summary)",Cancer; Emission; Emission projections; Emitrans; Estrogens; In-vitro; Inventory; Metabolites; Model; Phytoestrogens; Policies and measures; Reduction; Road transport; Sector; Sensitivity analysis; Spain; Systems; Women,Management of Technology and Innovation,"Atmospheric emissions from road transport have increased all around the world during the last decades more rapidly than from other pollution sources. For instance, they contribute to more than 25% of total CO, CO2, NOx, and fine particle emissions in most of the European countries. This situation shows the importance of road transport when complying with emission ceilings and air quality standards applied to these pollutants. This paper presents a modelling system to perform atmospheric emission projections (simultaneously both air quality pollutants and greenhouse gases) from road transport including the development of a tailored software tool (EmiTRANS) as a planning tool. The methodology has been developed with two purposes: 1) to obtain outputs used as inputs to the COPERT4 software to calculate emission projections and 2) to summarize outputs for policy making evaluating the effect of emission abatement measures for a vehicle fleet. This methodology has been applied to the calculation of emission projections in Spain up to 2020 under several scenarios, including a sensitivity analysis useful for a better interpretation and confidence building on the results. This case study demonstrates the EmiTRANS applicability to a country, and points out the need for combining both technical and non-technical measures (such as behavioural changes or demand management) to reduce emissions, indirectly improving air quality and contributing to mitigate climate change.",13,1,a methodology to compute emission projections from road transport emitrans
1,2,2,"Matrix Product States, Random Matrix Theory and the Principle of Maximum Entropy",2013-06-01,Using random matrix techniques and the theory of Matrix Product States we show that reduced density matrices of quantum spin chains have generically maximum entropy. (general),Double-blind; Outcomes; Survival,Mathematical Physics,Using random matrix techniques and the theory of Matrix Product States we show that reduced density matrices of quantum spin chains have generically maximum entropy.,9,2,matrix product states random matrix theory and the principle of maximum entropy
2,4,4,Real-time speed profile calculation for fuel saving considering unforeseen situations and travel time,2013-03-01,"Driving style is a key variable which we can influence in order to reduce consumption and pollutant emissions, but other variables also need to be taken into account, such as safety, comfort and travel time. There are different alternatives for obtaining the optimal speed and gear by taking into account the vertical profile of the road and vehicle characteristics. Of these alternatives, Dynamic Programming (DP) provides fairly satisfactory results. However, this calculation involves a high computation cost when it is used to calculate long routes, which poses practical problems when the route can be varied frequently or when unexpected traffic events make it necessary to recalculate the speed profile. This study proposes a solution that is closer to the optimal solution. The algorithm is based on simple action rules for elementary road profiles that have been previously obtained using DP. Furthermore, these rules are recalculated in order to fulfil a predefined travel time. The algorithm has been used in different traffic situations on a real route and differences with the optimal solution have been evaluated so that the conditions where it works better are assessed. (general)",Classification; Performance liquid-chromatography; Pigments; Profile; Quality; Skin; Varieties,Mechanical Engineering,"Driving style is a key variable which we can influence in order to reduce consumption and pollutant emissions, but other variables also need to be taken into account, such as safety, comfort and travel time. There are different alternatives for obtaining the optimal speed and gear by taking into account the vertical profile of the road and vehicle characteristics. Of these alternatives, Dynamic Programming (DP) provides fairly satisfactory results. However, this calculation involves a high computation cost when it is used to calculate long routes, which poses practical problems when the route can be varied frequently or when unexpected traffic events make it necessary to recalculate the speed profile. This study proposes a solution that is closer to the optimal solution. The algorithm is based on simple action rules for elementary road profiles that have been previously obtained using DP. Furthermore, these rules are recalculated in order to fulfil a predefined travel time. The algorithm has been used in different traffic situations on a real route and differences with the optimal solution have been evaluated so that the conditions where it works better are assessed.",13,1,realtime speed profile calculation for fuel saving considering unforeseen situations and travel time
3,5,5,Methodology for kinematic cycle characterization of vehicles with fixed routes in urban areas,2013-07-01,"This paper analyses the driving cycles of a fleet of vehicles with predetermined urban itineraries. Most driving cycles developed for such type of vehicles do not properly address variability among itineraries. Here we develop a polygonal driving cycle that assesses each group of related routes, based on microscopic parameters. It measures the kinematic cycles of the routes traveled by the vehicle fleet, segments cycles into micro-cycles, and characterizes their properties, groups them into clusters with homogeneous kinematic characteristics within their specific micro-cycles, and constructs a standard cycle for each cluster. The process is used to study public bus operations in Madrid. (C) 2013 Elsevier Ltd. All rights reserved. (general)",Depression; Driving cycle; Emissions; Patterns; Power analysis; Reliability; Traffic speed; Urban buses; Validity; Vehicles emissions,Civil and Structural Engineering,"This paper analyses the driving cycles of a fleet of vehicles with predetermined urban itineraries. Most driving cycles developed for such type of vehicles do not properly address variability among itineraries. Here we develop a polygonal driving cycle that assesses each group of related routes, based on microscopic parameters. It measures the kinematic cycles of the routes traveled by the vehicle fleet, segments cycles into micro-cycles, and characterizes their properties, groups them into clusters with homogeneous kinematic characteristics within their specific micro-cycles, and constructs a standard cycle for each cluster. The process is used to study public bus operations in Madrid.",11,1,methodology for kinematic cycle characterization of vehicles with fixed routes in urban areas
4,6,6,A Hierarchical Tracking Strategy for Vision-Based Applications On-Board UAVs,2013-12-01,"In this paper, we apply a hierarchical tracking strategy of planar objects (or that can be assumed to be planar) that is based on direct methods for vision-based applications on-board UAVs. The use of this tracking strategy allows to achieve the tasks at real-time frame rates and to overcome problems posed by the challenging conditions of the tasks: e.g. constant vibrations, fast 3D changes, or limited capacity on-board. The vast majority of approaches make use of feature-based methods to track objects. Nonetheless, in this paper we show that although some of these feature-based solutions are faster, direct methods can be more robust under fast 3D motions (fast changes in position), some changes in appearance, constant vibrations (without requiring any specific hardware or software for video stabilization), and situations in which part of the object to track is outside of the field of view of the camera. The performance of the proposed tracking strategy on-board UAVs is evaluated with images from real-flight tests using manually-generated ground truth information, accurate position estimation using a Vicon system, and also with simulated data from a simulation environment. Results show that the hierarchical tracking strategy performs better than well-known feature-based algorithms and well-known configurations of direct methods, and that its performance is robust enough for vision-in-the-loop tasks, e.g. for vision-based landing tasks. (general)",Direct methods; Hierarchical tracking; Pose estimation; Program; Software; Uavs visual tracking; Vision-based landing,Artificial Intelligence,"In this paper, we apply a hierarchical tracking strategy of planar objects (or that can be assumed to be planar) that is based on direct methods for vision-based applications on-board UAVs. The use of this tracking strategy allows to achieve the tasks at real-time frame rates and to overcome problems posed by the challenging conditions of the tasks: e.g. constant vibrations, fast 3D changes, or limited capacity on-board. The vast majority of approaches make use of feature-based methods to track objects. Nonetheless, in this paper we show that although some of these feature-based solutions are faster, direct methods can be more robust under fast 3D motions (fast changes in position), some changes in appearance, constant vibrations (without requiring any specific hardware or software for video stabilization), and situations in which part of the object to track is outside of the field of view of the camera. The performance of the proposed tracking strategy on-board UAVs is evaluated with images from real-flight tests using manually-generated ground truth information, accurate position estimation using a Vicon system, and also with simulated data from a simulation environment. Results show that the hierarchical tracking strategy performs better than well-known feature-based algorithms and well-known configurations of direct methods, and that its performance is robust enough for vision-in-the-loop tasks, e.g. for vision-based landing tasks.",9,2,a hierarchical tracking strategy for visionbased applications onboard uavs
5,7,7,A vision-based strategy for autonomous aerial refueling tasks,2013-08-01,"Autonomous aerial refueling is a key enabling technology for both manned and unmanned aircraft where extended flight duration or range are required. The results presented within this paper offer one potential vision-based sensing solution, together with a unique test environment. A hierarchical visual tracking algorithm based on direct methods is proposed and developed for the purposes of tracking a drogue during the capture stage of autonomous aerial refueling, and of estimating its 3D position. Intended to be applied in real time to a video stream from a single monocular camera mounted on the receiver aircraft, the algorithm is shown to be highly robust, and capable of tracking large, rapid drogue motions within the frame of reference. The proposed strategy has been tested using a complex robotic testbed and with actual flight hardware consisting of a full size probe and drogue. Results show that the vision tracking algorithm can detect and track the drogue at real-time frame rates of more than thirty frames per second, obtaining a robust position estimation even with strong motions and multiple occlusions of the drogue. (C) 2013 Elsevier B.V. All rights reserved. (general)",Activation; Autonomous aerial refueling; Computer vision; Direct methods; Mechanisms; Phosphatase; Probe and drogue refueling; Simulation; Unmanned aerial vehicles; Visual tracking,Software,"Autonomous aerial refueling is a key enabling technology for both manned and unmanned aircraft where extended flight duration or range are required. The results presented within this paper offer one potential vision-based sensing solution, together with a unique test environment. A hierarchical visual tracking algorithm based on direct methods is proposed and developed for the purposes of tracking a drogue during the capture stage of autonomous aerial refueling, and of estimating its 3D position. Intended to be applied in real time to a video stream from a single monocular camera mounted on the receiver aircraft, the algorithm is shown to be highly robust, and capable of tracking large, rapid drogue motions within the frame of reference. The proposed strategy has been tested using a complex robotic testbed and with actual flight hardware consisting of a full size probe and drogue. Results show that the vision tracking algorithm can detect and track the drogue at real-time frame rates of more than thirty frames per second, obtaining a robust position estimation even with strong motions and multiple occlusions of the drogue.",9,2,a visionbased strategy for autonomous aerial refueling tasks
6,8,8,Analysis of the operator action and the single failure criteria in a SGTR sequence using best estimate assumptions with TRACE 5.0,2013-04-17,"Steam Generator Tube Rupture (SGTR) sequences in Pressurized Water Reactors are known to be one of the most demanding transients for the operating crew. SGTR are a special kind of transient as they could lead to radiological releases without core damage or containment failure, as they can constitute a direct path from the reactor coolant system to the environment. The first methodology used to perform the Deterministic Safety Analysis (DSA) of a SGTR did not credit the operator action for the first 30 min of the transient, assuming that the operating crew was able to stop the primary to secondary leakage within that period of time. However, the different real SGTR accident cases happened in the USA and over the world demonstrated that the operators usually take more than 30 min to stop the leakage in actual sequences. Some methodologies were raised to overcome that fact, considering operator actions from the beginning of the transient, as it is done in Probabilistic Safety Analysis. This paper presents the results of comparing different assumptions regarding the single failure criteria and the operator action taken from the most common methodologies included in the different Deterministic Safety Analysis. One single failure criteria that has not been analysed previously in the literature is proposed and analysed in this paper too. The comparison is done with a PWR Westinghouse three loop model in TRACE code (Almaraz NPP) with best estimate assumptions but including deterministic hypothesis such as single failure criteria or loss of offsite power. The behaviour of the reactor is quite diverse depending on the different assumptions made regarding the operator actions. On the other hand, although there are high conservatisms included in the hypothesis, as the single failure criteria, all the results are quite far from the regulatory limits. In addition, some improvements to the Emergency Operating Procedures to minimize the offsite release from the damaged SG in case of a SGTR are outlined taking into account the offsite dose sensitivity results. (C) 2013 Elsevier Ltd. All rights reserved. (general)",Fsar; Mto; Offsite dose; Radtrad; Sgtr; Trace; Trial; Visceral leishmaniasis,Nuclear Energy and Engineering,"Steam Generator Tube Rupture (SGTR) sequences in Pressurized Water Reactors are known to be one of the most demanding transients for the operating crew. SGTR are a special kind of transient as they could lead to radiological releases without core damage or containment failure, as they can constitute a direct path from the reactor coolant system to the environment. The first methodology used to perform the Deterministic Safety Analysis (DSA) of a SGTR did not credit the operator action for the first 30 min of the transient, assuming that the operating crew was able to stop the primary to secondary leakage within that period of time. However, the different real SGTR accident cases happened in the USA and over the world demonstrated that the operators usually take more than 30 min to stop the leakage in actual sequences. Some methodologies were raised to overcome that fact, considering operator actions from the beginning of the transient, as it is done in Probabilistic Safety Analysis. This paper presents the results of comparing different assumptions regarding the single failure criteria and the operator action taken from the most common methodologies included in the different Deterministic Safety Analysis. One single failure criteria that has not been analysed previously in the literature is proposed and analysed in this paper too. The comparison is done with a PWR Westinghouse three loop model in TRACE code (Almaraz NPP) with best estimate assumptions but including deterministic hypothesis such as single failure criteria or loss of offsite power. The behaviour of the reactor is quite diverse depending on the different assumptions made regarding the operator actions. On the other hand, although there are high conservatisms included in the hypothesis, as the single failure criteria, all the results are quite far from the regulatory limits. In addition, some improvements to the Emergency Operating Procedures to minimize the offsite release from the damaged SG in case of a SGTR are outlined taking into account the offsite dose sensitivity results.",7,2,analysis of the operator action and the single failure criteria in a sgtr sequence using best estimate assumptions with trace 50
7,10,10,Fungal biodeterioration of color cinematographic films of the cultural heritage of Cuba,2013-10-01,"Until recently, cinematographic film was largely cellulose-triacetate-based. However, this material is highly susceptible to biodeterioration, thus placing historic film collections, an important part of the cultural heritage of many countries, at risk. In the present study, samples taken from several biodeteriorated color cinematographic films belonging to the collection of the Cuban Institute for Cinematographic Industry and Arts (ICAIC) were investigated. Infrared spectroscopy showed that all films were of the same composition, i.e., a gelatin emulsion coating one side of a cellulose-triacetate-based film support. The films were analyzed by environmental scanning electron microscopy and scanning electron microscopy to determine the degree of biodeterioration and the type of colonizing microorganisms. Significant fungal colonization was found on both sides of the films in all samples, with a higher concentration of fungi on the gelatin emulsion side. Epifluorescence microscopy of fluorochrome-dyed films demonstrated that some of the fungi were still active, indicating that the films under study, and probably others at the ICAIC, are at risk of further deterioration. Fungi were identified by molecular biology techniques. The fungi mainly responsible for the observed biodeterioration were those belonging to the genera Aspergillus and Cladosporium, although other genera, such as Microascus and Penicillium, were identified as well. In accordance with the findings described herein, the existing guidelines for the prevention and control of film biodeterioration are discussed. (c) 2012 Elsevier Ltd. All rights reserved. (general)",Archive; Biodegradation; Biodeterioration; Cinematographic film; Comparative efficacy; Cultural heritage; Degradation; Double-blind; Fungi; Microascus; Parameters; Sequence alignment,Waste Management and Disposal,"Until recently, cinematographic film was largely cellulose-triacetate-based. However, this material is highly susceptible to biodeterioration, thus placing historic film collections, an important part of the cultural heritage of many countries, at risk. In the present study, samples taken from several biodeteriorated color cinematographic films belonging to the collection of the Cuban Institute for Cinematographic Industry and Arts (ICAIC) were investigated. Infrared spectroscopy showed that all films were of the same composition, i.e., a gelatin emulsion coating one side of a cellulose-triacetate-based film support. The films were analyzed by environmental scanning electron microscopy and scanning electron microscopy to determine the degree of biodeterioration and the type of colonizing microorganisms. Significant fungal colonization was found on both sides of the films in all samples, with a higher concentration of fungi on the gelatin emulsion side. Epifluorescence microscopy of fluorochrome-dyed films demonstrated that some of the fungi were still active, indicating that the films under study, and probably others at the ICAIC, are at risk of further deterioration. Fungi were identified by molecular biology techniques. The fungi mainly responsible for the observed biodeterioration were those belonging to the genera Aspergillus and Cladosporium, although other genera, such as Microascus and Penicillium, were identified as well. In accordance with the findings described herein, the existing guidelines for the prevention and control of film biodeterioration are discussed. (c) 2012 Elsevier Ltd. All rights reserved.",9,2,fungal biodeterioration of color cinematographic films of the cultural heritage of cuba
8,11,11,"Direct and Inverse Results on Row Sequences of Hermite-Pad, Approximants",2013-08-01,We give necessary and sufficient conditions for the convergence with geometric rate of the common denominators of simultaneous rational interpolants with a bounded number of poles. The conditions are expressed in terms of intrinsic properties of the system of functions used to build the approximants. Exact rates of convergence for these denominators and the simultaneous rational approximants are provided. (general),Convergence; Defects; Dogs; Hermite-pade approximation; Inverse results; Montessus de ballore theorem; Proliferation; Rate of convergence; Repair; Simultaneous approximation,Computational Mathematics,We give necessary and sufficient conditions for the convergence with geometric rate of the common denominators of simultaneous rational interpolants with a bounded number of poles. The conditions are expressed in terms of intrinsic properties of the system of functions used to build the approximants. Exact rates of convergence for these denominators and the simultaneous rational approximants are provided.,9,2,direct and inverse results on row sequences of hermitepad approximants
9,12,12,Tactile-Sight: A Sensory Substitution Device Based on Distance-Related Vibrotactile Flow Regular Paper,2013-06-17,"Sensory substitution is a research field of increasing interest with regard to technical, applied and theoretical issues. Among the latter, it is of central interest to understand the form in which humans perceive the environment. Ecological psychology, among other approaches, proposes that we can detect higher-order informational variables (in the sense that they are defined over substantial spatial and temporal intervals) that specify our interaction with the environment. When using a vibrotactile sensory substitution device, it is reasonable to ask if stimulation on the skin may be exploitable to detect higher-order variables. Motivated by this question, a portable vibrotactile sensory substitution device was built, using distance-based information as a source and driving a large number of vibrotactile actuators (72 in the reported version, 120 max). The portable device was designed to explore real environments, allowing natural unrestricted movement for the user while providing contingent real-time vibrotactile information. Two preliminary experiments were performed. In the first one, participants were asked to detect the time to contact of an approaching ball in a simulated (desktop) environment. Reasonable performance was observed in all experimental conditions, including the one with only tactile stimulation. In the second experiment, a portable version of the device was used in a real environment, where participants were asked to hit an approaching ball. Participants were able to coordinate their arm movements with vibrotactile stimulation in appropriate timing. We conclude that vibrotactile flow can be generated by distance-based activation of the actuators and that this stimulation on the skin allows users to perceive time-to-contact related environmental properties. (general)",Hadron colliders; Movement; Phenomenology; Sensory substitution; Time to contact; Vibrotactile flow,Artificial Intelligence,"Sensory substitution is a research field of increasing interest with regard to technical, applied and theoretical issues. Among the latter, it is of central interest to understand the form in which humans perceive the environment. Ecological psychology, among other approaches, proposes that we can detect higher-order informational variables (in the sense that they are defined over substantial spatial and temporal intervals) that specify our interaction with the environment. When using a vibrotactile sensory substitution device, it is reasonable to ask if stimulation on the skin may be exploitable to detect higher-order variables. Motivated by this question, a portable vibrotactile sensory substitution device was built, using distance-based information as a source and driving a large number of vibrotactile actuators (72 in the reported version, 120 max). The portable device was designed to explore real environments, allowing natural unrestricted movement for the user while providing contingent real-time vibrotactile information. Two preliminary experiments were performed. In the first one, participants were asked to detect the time to contact of an approaching ball in a simulated (desktop) environment. Reasonable performance was observed in all experimental conditions, including the one with only tactile stimulation. In the second experiment, a portable version of the device was used in a real environment, where participants were asked to hit an approaching ball. Participants were able to coordinate their arm movements with vibrotactile stimulation in appropriate timing. We conclude that vibrotactile flow can be generated by distance-based activation of the actuators and that this stimulation on the skin allows users to perceive time-to-contact related environmental properties.",3,1,tactilesight a sensory substitution device based on distancerelated vibrotactile flow regular paper
