Title,my_label
A methodology to compute emission projections from road transport (EmiTRANS),13
"Matrix Product States, Random Matrix Theory and the Principle of Maximum Entropy",9
Real-time speed profile calculation for fuel saving considering unforeseen situations and travel time,13
Methodology for kinematic cycle characterization of vehicles with fixed routes in urban areas,11
A Hierarchical Tracking Strategy for Vision-Based Applications On-Board UAVs,9
A vision-based strategy for autonomous aerial refueling tasks,9
Analysis of the operator action and the single failure criteria in a SGTR sequence using best estimate assumptions with TRACE 5.0,7
Fungal biodeterioration of color cinematographic films of the cultural heritage of Cuba,9
"Direct and Inverse Results on Row Sequences of Hermite-Pad, Approximants",9
Tactile-Sight: A Sensory Substitution Device Based on Distance-Related Vibrotactile Flow Regular Paper,3
Improved variability classification of CoRoT targets with Giraffe spectra,9
Transformer-Coupled Converter for Voltage Modulation Techniques,9
Critical radius for hot-jet ignition of hydrogen-air mixtures,9
Meromorphic continuation of functions and arbitrary distribution of interpolation points,9
SVD Applied to Voltage Sag State Estimation,9
A proposal for improving safety in construction projects by strengthening coordinators' competencies in health and safety issues,3
Description of an advantageous optical label-free biosensing interferometric read-out method to measure biological species,13
Optimal integration of a solid-oxide electrolyser cell into a direct steam generation solar tower plant for zero-emission hydrogen production,7
Mechanical response to swift ion irradiation-induced nano-tracks in silica,9
"Composite scaffolds for osteochondral repair obtained by combination of additive manufacturing, leaching processes and hMSC-CM functionalization",3
Multi-channeled polymeric microsystem for studying the impact of surface topography on cell adhesion and motility,9
Air quality modeling and mortality impact of fine particles reduction policies in Spain,3
In situ monitoring the optical properties of dielectric materials during ion irradiation,9
Development and Testing of a New Instrument for Researching on Cancer Treatment Technologies Based on Magnetic Hyperthermia,3
Validation of the Hirst-type spore trap for simultaneous monitoring of prokaryotic and eukaryotic biodiversity in urban air samples by NGS.,11
Understanding the ion-induced elongation of silver nanoparticles embedded in silica,9
On the thermal stability of the nanostructured tungsten coatings,9
Effect of organic stabilizers on silver nanoparticles fabricated by femtosecond pulsed laser ablation,9
Non-ideal behavior of ionic liquid mixtures to enhance CO2 capture,13
Permanent modifications in silica produced by ion-induced high electronic excitation: experiments and atomistic simulations.,9
Random Quantum Correlations are Generically Non-classical,9
3D printed structures filled with carbon fibers and functionalized with mesenchymal stem cell conditioned media as in vitro cell niches for promoting chondrogenesis,3
Responses when the earth trembles: The impact of community awareness campaigns on protective behavior,11
Enterprise Ionic Liquids Database (ILUAM) for Use in Aspen ONE Programs Suite with COSMO-Based Property Methods,9
Molecular and Thermodynamic Properties of Zwitterions versus Ionic Liquids: A Comprehensive Computational Analysis to Develop Advanced Separation Processes,9
"Phase boundaries, nucleation rates and speed of crystal growth of the water-to-ice transition under an electric field: a simulation study.",9
Development towards Compact Nitrocellulose-Based Interferometric Biochips for Dry Eye MMP9 Label-Free In-Situ Diagnosis.,3
Conceptual design of the beryllium rotating target for the ESS-Bilbao facility,9
